y,a,c02,c03,c04,c05,c06,c07,n01,n02,n03,n04
0,1,1,0,0,0,0,0,0,0,0,0
1,1,2,2,0,1,1,1,2,0,26,542
1,0,2,0,0,0,1,0,1,0,74,0
0,0,0,2,0,0,1,0,0,0,8,0
1,1,1,2,0,0,1,1,3,120,90,0
0,0,0,2,0,0,0,0,0,0,10,0
0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,16,0
0,0,0,0,0,0,1,0,0,0,16,0
1,1,2,2,1,0,1,0,0,0,0,0
0,0,0,2,1,0,1,0,0,0,3,0
0,0,0,0,1,0,1,0,0,0,4,0
0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
1,0,2,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,3,0,0,0
0,1,2,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,2,0,0,0,0,0,0,324,0
0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,1,0,0,0
0,1,4,2,0,0,1,0,2,311,608,0
0,0,0,2,0,0,0,0,1,0,0,0
0,1,0,2,0,0,0,0,2,0,130,0
0,1,0,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,2,0,19,0
1,0,0,0,0,0,0,0,1,0,0,0
0,1,2,1,1,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,60,0
1,0,2,2,1,0,0,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0,28,0
0,0,1,1,0,0,1,1,0,0,184,0
0,0,0,2,0,0,0,0,0,0,71,0
1,0,0,1,0,0,0,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,247,0
0,0,0,0,1,0,1,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,150,0
0,0,0,2,0,0,1,1,1,0,0,0
1,0,1,0,0,0,1,1,1,0,133,0
0,0,0,0,0,0,0,0,2,0,124,0
1,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,1,0,3,0,0,0
0,0,0,0,0,0,0,0,1,0,139,0
0,0,0,1,0,0,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,1,1,0,25,0
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,3,0,256,0
1,0,0,1,0,0,0,0,3,0,0,0
0,1,0,2,0,0,1,0,0,0,0,0
1,0,0,2,1,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,3,0,58,0
0,0,0,1,1,0,0,0,1,0,0,0
1,0,2,1,1,0,1,0,2,0,12,0
0,0,0,1,0,0,0,0,1,153,24,0
0,0,0,0,0,0,0,0,3,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,1,0,1,0,421,0
0,0,0,2,0,0,0,0,0,0,0,0
1,1,1,0,0,0,1,0,3,0,131,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,3,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,3,0,0,0
0,1,0,1,0,0,0,0,0,29,59,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,1,0,1,0,2,0
0,0,0,1,1,0,0,0,0,0,0,0
1,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,83,0
0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,109,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,1,0,1,0,1,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,1,0,0,0
0,1,3,1,0,0,0,0,0,0,0,0
1,0,1,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,0,1,0,0,0
1,1,0,0,0,0,1,0,3,47,136,0
0,1,3,1,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,2,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
1,1,2,0,0,0,0,0,2,0,0,0
0,1,2,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0
0,0,5,0,0,0,1,0,0,0,8,0
0,0,0,1,0,0,1,1,0,0,570,0
0,0,0,0,1,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,1,1,1,0,0,0
1,0,0,0,0,0,0,0,1,0,113,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,2,0,0,0
0,0,0,1,0,0,1,0,1,0,4,0
0,0,0,0,0,0,1,0,0,0,0,0
0,1,0,2,1,0,0,0,0,0,0,0
0,0,3,1,1,0,1,0,1,6,51,0
1,0,2,0,1,0,1,0,3,0,58,136
0,0,0,0,1,0,0,0,0,0,0,0
0,0,2,1,0,0,0,0,1,0,0,0
1,1,1,1,0,0,0,0,3,110,61,0
0,0,1,2,1,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,0,0,3,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,1,0,0,0,1,0,0,0
0,0,3,0,1,0,0,0,1,0,22,0
0,0,1,1,0,0,1,0,3,58,295,0
1,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,2,0,0,0
1,0,0,1,0,0,0,0,1,0,31,0
